iter	Accuracy	Logloss
807	0.8937602627	0.3105983089
808	0.89408867	0.3104873833
809	0.8935960591	0.3103403577
810	0.8935960591	0.3102205323
811	0.8939244663	0.3100964576
812	0.89408867	0.3099845297
813	0.89408867	0.3098773123
814	0.89408867	0.3097195229
815	0.89408867	0.3096258755
816	0.8942528736	0.3094401443
817	0.8942528736	0.3092988714
818	0.8942528736	0.3091405408
819	0.8944170772	0.308985257
820	0.8947454844	0.3088183473
821	0.8950738916	0.3086505959
822	0.8952380952	0.3085567882
823	0.8955665025	0.3084572878
824	0.8957307061	0.3083326318
825	0.8955665025	0.3081844236
826	0.8954022989	0.3080240685
827	0.8955665025	0.307833747
828	0.8954022989	0.3076713875
829	0.8955665025	0.3074980637
830	0.8955665025	0.3073567708
831	0.8957307061	0.3072054959
832	0.8958949097	0.3070636417
833	0.8960591133	0.3069058523
834	0.8962233169	0.3068096994
835	0.8963875205	0.3066903551
836	0.8960591133	0.3065473384
837	0.8962233169	0.3064418047
838	0.8962233169	0.3062453096
839	0.8962233169	0.3060741306
840	0.8962233169	0.3059404545
841	0.8965517241	0.3057880972
842	0.8965517241	0.3057068773
843	0.8967159278	0.3055606936
844	0.8967159278	0.3054599305
845	0.8967159278	0.3054184386
846	0.8972085386	0.3052248098
847	0.8972085386	0.3051186547
848	0.8975369458	0.3049654154
849	0.8975369458	0.3047970225
850	0.8973727422	0.3046585359
851	0.8973727422	0.3045590756
852	0.8975369458	0.3043841082
853	0.8975369458	0.3042481271
854	0.8975369458	0.3041391257
855	0.8975369458	0.3039950867
856	0.8975369458	0.3038639363
857	0.897865353	0.3037004142
858	0.897865353	0.3035268499
859	0.897865353	0.3034187304
860	0.897865353	0.3033113727
861	0.8977011494	0.3031343808
862	0.897865353	0.3029983796
863	0.897865353	0.3029076988
864	0.8977011494	0.3027417914
865	0.8975369458	0.3026065119
866	0.8977011494	0.3024516088
867	0.897865353	0.3023201778
868	0.8980295567	0.3021852991
869	0.897865353	0.3020553915
870	0.897865353	0.3019659935
871	0.8980295567	0.3018917491
872	0.897865353	0.3017856942
873	0.897865353	0.3016122101
874	0.8981937603	0.3014524964
875	0.8983579639	0.3013767286
876	0.8981937603	0.3012656827
877	0.8983579639	0.301142069
878	0.8983579639	0.3010243884
879	0.8985221675	0.3008377752
880	0.8983579639	0.3007232816
881	0.8985221675	0.3005672762
